address,path_station,path_dist_mi,hblr_station,hblr_dist_mi,transit_station,transit_dist_mi
214 PARK AVE,Hoboken,0.516,Pavonia/Newport,0.832,Hoboken,0.516
214 WILLOW AVE,Hoboken,0.564,Pavonia/Newport,0.846,Hoboken,0.564
215 ADAMS ST,Hoboken,0.696,Pavonia/Newport,0.891,Hoboken,0.696
215 BLOOMFIELD ST,Hoboken,0.406,Pavonia/Newport,0.817,Hoboken,0.406
215 CLINTON ST,Hoboken,0.598,Pavonia/Newport,0.857,Hoboken,0.598
215 GRAND ST,Hoboken,0.643,Pavonia/Newport,0.852,Hoboken,0.643
215 MONROE ST,Hoboken,0.839,Pavonia/Newport,0.94,Hoboken,0.839
217 BLOOMFIELD ST,Hoboken,0.407,Pavonia/Newport,0.821,Hoboken,0.407
217 WILLOW AVE,Hoboken,0.551,Pavonia/Newport,0.847,Hoboken,0.551
218 HUDSON ST,Hoboken,0.32,Pavonia/Newport,0.803,Hoboken,0.32
218 JACKSON ST,Hoboken,0.9,Pavonia/Newport,0.976,Hoboken,0.9
218 JEFFERSON ST,Hoboken,0.759,Pavonia/Newport,0.924,Hoboken,0.759
218 MADISON ST,Hoboken,0.801,Pavonia/Newport,0.923,Hoboken,0.801
218 WILLOW AVE,Hoboken,0.567,Pavonia/Newport,0.855,Hoboken,0.567
219 GRAND ST,Hoboken,0.644,Pavonia/Newport,0.854,Hoboken,0.644
219 MADISON ST,Hoboken,0.79,Pavonia/Newport,0.917,Hoboken,0.79
219 WILLOW AVE,Hoboken,0.553,Pavonia/Newport,0.852,Hoboken,0.553
220 7TH ST,Hoboken,0.735,Port Imperial,0.541,Port Imperial,0.541
220 JEFFERSON ST,Hoboken,0.76,Pavonia/Newport,0.928,Hoboken,0.76
220 WASHINGTON ST,Hoboken,0.375,Pavonia/Newport,0.803,Hoboken,0.375
221 CLINTON ST,Hoboken,0.601,Pavonia/Newport,0.869,Hoboken,0.601
221 MONROE ST,Hoboken,0.84,Pavonia/Newport,0.944,Hoboken,0.84
221 WILLOW AVE,Hoboken,0.554,Pavonia/Newport,0.856,Hoboken,0.554
222 BLOOMFIELD ST,Hoboken,0.429,Pavonia/Newport,0.837,Hoboken,0.429
222 CLINTON ST,Hoboken,0.618,Pavonia/Newport,0.878,Hoboken,0.618
222 GRAND ST,Hoboken,0.666,Pavonia/Newport,0.895,Hoboken,0.666
222 HUDSON ST,Hoboken,0.322,Pavonia/Newport,0.806,Hoboken,0.322
222 MADISON ST,Hoboken,0.802,Pavonia/Newport,0.926,Hoboken,0.802
222 MONROE ST,Hoboken,0.852,Pavonia/Newport,0.952,Hoboken,0.852
222 PARK AVE,Hoboken,0.522,Pavonia/Newport,0.848,Hoboken,0.522
222 WILLOW AVE,Hoboken,0.57,Pavonia/Newport,0.864,Hoboken,0.57
223 BLOOMFIELD ST,Hoboken,0.415,Pavonia/Newport,0.832,Hoboken,0.415
223 CLINTON ST,Hoboken,0.603,Pavonia/Newport,0.873,Hoboken,0.603
223 PARK AVE,Hoboken,0.508,Pavonia/Newport,0.848,Hoboken,0.508
224 BLOOMFIELD ST,Hoboken,0.431,Pavonia/Newport,0.842,Hoboken,0.431
224 HUDSON ST,Hoboken,0.323,Pavonia/Newport,0.807,Hoboken,0.323
224 JEFFERSON ST,Hoboken,0.763,Pavonia/Newport,0.936,Hoboken,0.763
224 MADISON ST,Hoboken,0.802,Pavonia/Newport,0.927,Hoboken,0.802
224 MONROE ST,Hoboken,0.852,Pavonia/Newport,0.953,Hoboken,0.852
224 PARK AVE,Hoboken,0.523,Pavonia/Newport,0.852,Hoboken,0.523
224 WILLOW AVE,Hoboken,0.571,Pavonia/Newport,0.869,Hoboken,0.571
224-226 WILLOW AVE,Hoboken,0.532,Pavonia/Newport,0.653,Hoboken,0.532
225 PARK AVE,Hoboken,0.51,Pavonia/Newport,0.852,Hoboken,0.51
225 RIVER ST,Hoboken,0.272,Port Imperial,0.823,Hoboken,0.272
226 JEFFERSON ST,Hoboken,0.764,Pavonia/Newport,0.941,Hoboken,0.764
226 MONROE ST,Hoboken,0.852,Pavonia/Newport,0.954,Hoboken,0.852
226 PARK AVE,Hoboken,0.524,Pavonia/Newport,0.855,Hoboken,0.524
226 WILLOW AVE,Hoboken,0.573,Pavonia/Newport,0.874,Hoboken,0.573
227 GRAND ST,Hoboken,0.645,Pavonia/Newport,0.86,Hoboken,0.645
227 MADISON ST,Hoboken,0.791,Pavonia/Newport,0.923,Hoboken,0.791
