address,lat,lon,display_name,status
55 WEST 19TH ST,40.7598696,-74.0315838,"55, West 19th Street, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
550 GREGORY AVE,40.7660227,-74.0256059,"550, Gregory Avenue, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
550-564 GREGORY AVE,,,,not_found
56 ETON ROW,40.7674881,-74.0171798,"Eton Row, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
564 GREGORY AVE,40.7662551,-74.0254205,"564, Gregory Avenue, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
57 HUDSON PL,40.7726063,-74.0177898,"57, Hudson Place, Weehawken, Hudson County, New Jersey, 07086, United States",ok
59A CHESTNUT ST,40.7595181,-74.0310461,"Chestnut Street, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
59B CHESTNUT ST,40.7595181,-74.0310461,"Chestnut Street, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
5B WEST 19TH ST,40.7599096,-74.0313893,"West 19th Street, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
6 CAMBRIDGE WAY,40.7683891,-74.0166158,"Cambridge Way, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
600 HARBOR BLVD,40.7600589,-74.0218974,"600, Harbor Boulevard, Lincoln Harbor, Weehawken, Hudson County, New Jersey, 07086, United States",ok
62 ETON ROW,40.7674881,-74.0171798,"Eton Row, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
63 ETON ROW,40.7674296,-74.0172395,"63, Eton Row, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
72 46TH ST,40.7776521,-74.0163424,"72, 46th Street, Weehawken, Hudson County, New Jersey, 07086, United States",ok
720 BLVD EAST,40.7793943,-74.0120104,"Boulevard East, Weehawken, Hudson County, New Jersey, 07093, United States",ok
8 CAMBRIDGE WAY,40.7683891,-74.0166158,"Cambridge Way, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
800 AVENUE AT PORT IMPERIAL,40.7767352,-74.0112977,"Avenue at Port Imperial, Weehawken, Hudson County, New Jersey, 07093, United States",ok
81-83 HIGHWOOD TERRACE,40.7717677,-74.0205861,"Highwood Terrace, Weehawken, Hudson County, New Jersey, 07086, United States",ok
83 LIBERTY PL,40.7747694,-74.0195052,"83, Liberty Place, Weehawken, Hudson County, New Jersey, 07086, United States",ok
843-849 BLVD EAST,40.7793943,-74.0120104,"Boulevard East, Weehawken, Hudson County, New Jersey, 07093, United States",ok
848-849 BLVD EAST,40.7659779,-74.0220929,"Boulevard East, Lincoln Harbor, Weehawken, Hudson County, New Jersey, 07086, United States",ok
849 BLVD EAST,40.7671744,-74.0216355,"Boulevard East, Lincoln Harbor, Weehawken, Hudson County, New Jersey, 07086, United States",ok
851 BLVD EAST,40.7793943,-74.0120104,"Boulevard East, Weehawken, Hudson County, New Jersey, 07093, United States",ok
851 JOHN F KENNEDY BLVD,40.7671744,-74.0216355,"Boulevard East, Lincoln Harbor, Weehawken, Hudson County, New Jersey, 07086, United States",ok
875 BLVD EAST,40.7671744,-74.0216355,"Boulevard East, Lincoln Harbor, Weehawken, Hudson County, New Jersey, 07086, United States",ok
883 BLVD EAST,40.7671744,-74.0216355,"Boulevard East, Lincoln Harbor, Weehawken, Hudson County, New Jersey, 07086, United States",ok
899 BLVD EAST,40.7659779,-74.0220929,"Boulevard East, Lincoln Harbor, Weehawken, Hudson County, New Jersey, 07086, United States",ok
9 GRAND ST,40.7588959,-74.0304238,"9, Grand Street, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
941 BLVD EAST,40.7671744,-74.0216355,"Boulevard East, Lincoln Harbor, Weehawken, Hudson County, New Jersey, 07086, United States",ok
963 BLVD EAST,40.7793943,-74.0120104,"Boulevard East, Weehawken, Hudson County, New Jersey, 07093, United States",ok
963-965 BLVD EAST,40.7659779,-74.0220929,"Boulevard East, Lincoln Harbor, Weehawken, Hudson County, New Jersey, 07086, United States",ok
965 BLVD EAST,40.7671744,-74.0216355,"Boulevard East, Lincoln Harbor, Weehawken, Hudson County, New Jersey, 07086, United States",ok
TH1 OXFORD LANDING,40.7685625,-74.01614,"Oxford Landing, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
TH12 HENLEY PL,40.768476,-74.0158556,"Henley Place, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
