"Picture Count","MLS #","Class","Type","Area","Price","Address","City","State","Zip","Status","Expiration Date","Tour/Open House - Start Date","Tour/Open House - Start Time","Tour/Open House - End Time","Tour/Open House - Event Type"
"19","260005122","CONDO-COOP","Condominium","JC, Heights","$849,000","183 ZABRISKIE ST","JC, Heights","NJ","07307-1111","ACTIVE","6/23/2026","4/11/2026","2:45 PM EDT","4:00 PM EDT","Open House"
"25","260004233","CONDO-COOP","Condominium","JC, Heights","$849,000","84 NELSON AVE","JC, Heights","NJ","07307","ACTIVE","9/30/2026","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"26","250021808","CONDO-COOP","Condominium","Hoboken","$849,000","921 MADISON ST","Hoboken","NJ","07030","ACTIVE","10/21/2026","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"25","260003125","CONDO-COOP","Condominium","JC, Heights","$849,000","134 NEW YORK AVE","JC, Heights","NJ","07307","ACTIVE","5/31/2026","4/11/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"32","260006232","CONDO-COOP","Condominium","Hoboken","$850,000","2 CONSTITUTION CT","Hoboken","NJ","07030","ACTIVE","10/8/2026","4/12/2026","3:00 PM EDT","5:00 PM EDT","Open House"
"27","260006236","CONDO-COOP","Condominium","JC, Heights","$850,000","50 COLUMBIA AVE","JC, Heights","NJ","07307","ACTIVE","10/8/2026","4/12/2026","12:00 PM EDT","3:00 PM EDT","Open House"
"29","260005660","CONDO-COOP","Condominium","JC, Heights","$856,800","15 MANHATTAN AVE","JC, Heights","NJ","07307","ACTIVE","6/30/2026","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"23","260005338","CONDO-COOP","Condominium","JC, Heights","$869,000","547 PALISADE AVE","JC, Heights","NJ","07307","ACTIVE","9/26/2026","4/11/2026","10:00 AM EDT","12:00 PM EDT","Open House"
"23","260005338","CONDO-COOP","Condominium","JC, Heights","$869,000","547 PALISADE AVE","JC, Heights","NJ","07307","ACTIVE","9/26/2026","4/12/2026","11:00 AM EDT","2:00 PM EDT","Open House"
"40","260005335","CONDO-COOP","Condominium","JC, Heights","$889,000","545 PALISADE AVE","JC, Heights","NJ","07307","ACTIVE","9/26/2026","4/11/2026","10:00 AM EDT","12:00 PM EDT","Open House"
"45","260002500","CONDO-COOP","Condominium","JC, Heights","$889,000","131 ZABRISKIE ST","JC, Heights","NJ","07307","ACTIVE","8/12/2026","4/12/2026","1:00 PM EDT","3:00 PM EDT","Open House"
